--- Stage Transactions ---
ID: 10, FromU: 2, ToU: 3, Qty: 0, Image: production-slip-1586_1774434110.jpg
ID: 11, FromU: 3, ToU: 4, Qty: 0, Image: production-slip-3792_1774434909.jpg
ID: 12, FromU: 4, ToU: 3, Qty: 0, Image: production-slip-9562_1774435547.jpg
ID: 13, FromU: 3, ToU: 4, Qty: 0, Image: NULL
ID: 14, FromU: 4, ToU: 5, Qty: 0, Image: production-slip-5130_1774435072.jpg
ID: 15, FromU: 5, ToU: 6, Qty: 0, Image: production-slip-7983_1774435118.jpg
ID: 16, FromU: 6, ToU: 7, Qty: 0, Image: production-slip-5246_1774435298.jpg
ID: 17, FromU: 7, ToU: 8, Qty: 0, Image: production-slip-3894_1774435477.jpg
ID: 18, FromU: 8, ToU: 9, Qty: 0, Image: production-slip-2191_1774442325.jpg
ID: 19, FromU: 3, ToU: 4, Qty: 0, Image: production-slip-4203_1774435594.jpg
ID: 20, FromU: 4, ToU: 5, Qty: 0, Image: production-slip-9815_1774440739.jpg
ID: 21, FromU: 5, ToU: 6, Qty: 0, Image: production-slip-4656_1774442560.jpg
ID: 22, FromU: 6, ToU: 7, Qty: 0, Image: production-slip-7274_1774442694.jpg
ID: 23, FromU: 7, ToU: 8, Qty: 0, Image: production-slip-7653_1774442801.jpg
ID: 24, FromU: 8, ToU: 9, Qty: 0, Image: NULL
ID: 25, FromU: 9, ToU: 10, Qty: 250, Image: NULL
--- Printing Transactions ---
ID: 6, FromU: 2, ToU: 1, Qty: 0, Image: NULL
--- PrintingToStitching Transactions ---
ID: 6, FromU: 1, ToU: 3, Qty: 250, Image: NULL
